id	uline行业号	uline行业名	状态	阿里新行业号	阿里新行业名	微信行业号	微信行业名	京东新行业号	京东新行业名
1	161215010100001	企业-餐饮/食品-中餐-川菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
2	161215010100002	企业-餐饮/食品-中餐-湘菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
3	161215010100003	企业-餐饮/食品-中餐-湖北菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
4	161215010100004	企业-餐饮/食品-中餐-台湾菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
5	161215010100005	企业-餐饮/食品-中餐-新疆菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
6	161215010100006	企业-餐饮/食品-中餐-江浙菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
7	161215010100007	企业-餐饮/食品-中餐-云南菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
8	161215010100008	企业-餐饮/食品-中餐-贵州菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
9	161215010100009	企业-餐饮/食品-中餐-西北菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
10	161215010100010	企业-餐饮/食品-中餐-东北菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
11	161215010100011	企业-餐饮/食品-中餐-香锅/烤鱼	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
12	161215010100012	企业-餐饮/食品-中餐-海鲜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
13	161215010100013	企业-餐饮/食品-中餐-其它地方菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
14	161215010100014	企业-餐饮/食品-中餐-粤菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
15	161215010100015	企业-餐饮/食品-中餐-海南菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
16	161215010100016	企业-餐饮/食品-中餐-鲁菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
17	161215010100017	企业-餐饮/食品-中餐-徽菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
18	161215010100018	企业-餐饮/食品-中餐-晋菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
19	161215010100019	企业-餐饮/食品-中餐-豫菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
20	161215010100020	企业-餐饮/食品-中餐-闽菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
