id	uline行业号	uline行业名	状态	阿里行业号	阿里行业名	阿里新行业号	阿里新行业名	微信行业号	微信行业名
1	161215010100001	企业-餐饮/食品-中餐-川菜	1	2015050700000010	美食-中餐-川菜	2015050700000000	美食	270	企业-餐饮/食品-食品
2	161215010100002	企业-餐饮/食品-中餐-湘菜	1	2015050700000011	美食-中餐-湘菜	2015050700000000	美食	270	企业-餐饮/食品-食品
3	161215010100003	企业-餐饮/食品-中餐-湖北菜	1	2015050700000012	美食-中餐-湖北菜	2015050700000000	美食	270	企业-餐饮/食品-食品
4	161215010100004	企业-餐饮/食品-中餐-台湾菜	1	2015050700000013	美食-中餐-台湾菜	2015050700000000	美食	270	企业-餐饮/食品-食品
5	161215010100005	企业-餐饮/食品-中餐-新疆菜	1	2015050700000014	美食-中餐-新疆菜	2015050700000000	美食	270	企业-餐饮/食品-食品
6	161215010100006	企业-餐饮/食品-中餐-江浙菜	1	2015050700000015	美食-中餐-江浙菜	2015050700000000	美食	270	企业-餐饮/食品-食品
7	161215010100007	企业-餐饮/食品-中餐-云南菜	1	2015050700000016	美食-中餐-云南菜	2015050700000000	美食	270	企业-餐饮/食品-食品
8	161215010100008	企业-餐饮/食品-中餐-贵州菜	1	2015050700000017	美食-中餐-贵州菜	2015050700000000	美食	270	企业-餐饮/食品-食品
9	161215010100009	企业-餐饮/食品-中餐-西北菜	1	2015050700000018	美食-中餐-西北菜	2015050700000000	美食	270	企业-餐饮/食品-食品
10	161215010100010	企业-餐饮/食品-中餐-东北菜	1	2015050700000019	美食-中餐-东北菜	2015050700000000	美食	270	企业-餐饮/食品-食品
11	161215010100011	企业-餐饮/食品-中餐-香锅/烤鱼	1	2015050700000020	美食-中餐-香锅/烤鱼	2015050700000000	美食	270	企业-餐饮/食品-食品
12	161215010100012	企业-餐饮/食品-中餐-海鲜	1	2015050700000021	美食-中餐-海鲜	2015050700000000	美食	270	企业-餐饮/食品-食品
13	161215010100013	企业-餐饮/食品-中餐-其它地方菜	1	2015050700000022	美食-中餐-其它地方菜	2015050700000000	美食	270	企业-餐饮/食品-食品
14	161215010100014	企业-餐饮/食品-中餐-粤菜	1	2015052200000062	美食-中餐-粤菜	2015050700000000	美食	270	企业-餐饮/食品-食品
15	161215010100015	企业-餐饮/食品-中餐-海南菜	1	2016010600120962	美食-中餐-海南菜	2015050700000000	美食	270	企业-餐饮/食品-食品
16	161215010100016	企业-餐饮/食品-中餐-鲁菜	1	2016031800152626	美食-中餐-鲁菜	2015050700000000	美食	270	企业-餐饮/食品-食品
17	161215010100017	企业-餐饮/食品-中餐-徽菜	1	2016031800154367	美食-中餐-徽菜	2015050700000000	美食	270	企业-餐饮/食品-食品
18	161215010100018	企业-餐饮/食品-中餐-晋菜	1	2016031800154368	美食-中餐-晋菜	2015050700000000	美食	270	企业-餐饮/食品-食品
19	161215010100019	企业-餐饮/食品-中餐-豫菜	1	2016031800155597	美食-中餐-豫菜	2015050700000000	美食	270	企业-餐饮/食品-食品
20	161215010100020	企业-餐饮/食品-中餐-闽菜	1	2016031800156722	美食-中餐-闽菜	2015050700000000	美食	270	企业-餐饮/食品-食品
21	161215010100021	企业-餐饮/食品-中餐-上海本帮菜	1	2016031800158042	美食-中餐-上海本帮菜	2015050700000000	美食	270	企业-餐饮/食品-食品
22	161215010100022	企业-餐饮/食品-中餐-淮扬菜	1	2016031800159500	美食-中餐-淮扬菜	2015050700000000	美食	270	企业-餐饮/食品-食品
23	161215010100023	企业-餐饮/食品-火锅-麻辣烫/串串香	1	2015050700000023	美食-火锅-麻辣烫/串串香	2015050700000000	美食	270	企业-餐饮/食品-食品
24	161215010100024	企业-餐饮/食品-火锅-川味/重庆火锅	1	2015050700000024	美食-火锅-川味/重庆火锅	2015050700000000	美食	270	企业-餐饮/食品-食品
25	161215010100025	企业-餐饮/食品-火锅-云南火锅	1	2015050700000025	美食-火锅-云南火锅	2015050700000000	美食	270	企业-餐饮/食品-食品
